Day,Start,End,Work unit description,Duration,Task,Month,Year,Weekday,Task Category
2022-01-22,7:38 PM,11:19 PM,,221,Thesis,2022-01,2022,Saturday,Research
2022-01-23,10:45 AM,11:45 AM,,60,Data Science & Programming,2022-01,2022,Sunday,Data Science & Programming
2022-01-23,1:56 PM,4:40 PM,,164,Thesis,2022-01,2022,Sunday,Research
2022-01-23,6:38 PM,8:52 PM,,134,Thesis,2022-01,2022,Sunday,Research
2022-01-23,10:30 PM,11:05 PM,弹吉他,35,Personal Growth,2022-01,2022,Sunday,Personal Growth
2022-01-23,11:35 PM,11:59 PM,计划托福,24,Personal Growth,2022-01,2022,Sunday,Personal Growth
2022-01-24,12:16 AM,1:20 AM,,65,Personal Growth,2022-01,2022,Monday,Personal Growth
2022-01-24,12:35 PM,1:09 PM,,34,Data Science & Programming,2022-01,2022,Monday,Data Science & Programming
2022-01-24,2:02 PM,7:11 PM,,309,Thesis,2022-01,2022,Monday,Research
2022-01-24,9:14 PM,9:29 PM,单词,14,Application Exam Prepare,2022-01,2022,Monday,Application
2022-01-25,11:30 AM,12:26 PM,,56,Data Science & Programming,2022-01,2022,Tuesday,Data Science & Programming
2022-01-25,2:11 PM,4:12 PM,,122,Thesis,2022-01,2022,Tuesday,Research
2022-01-25,4:12 PM,4:59 PM,背单词,47,Application Exam Prepare,2022-01,2022,Tuesday,Application
2022-01-26,6:10 PM,9:23 PM,,193,Thesis,2022-01,2022,Wednesday,Research
2022-01-27,9:43 AM,10:43 AM,,60,Data Science & Programming,2022-01,2022,Thursday,Data Science & Programming
2022-01-27,11:10 AM,7:10 PM,,480,Thesis,2022-01,2022,Thursday,Research
2022-01-28,8:50 AM,9:41 AM,,51,Data Science & Programming,2022-01,2022,Friday,Data Science & Programming
2022-01-28,10:07 AM,1:32 PM,,168,Application Exam Prepare,2022-01,2022,Friday,Application
2022-01-28,2:25 PM,5:25 PM,,180,Data Science & Programming,2022-01,2022,Friday,Data Science & Programming
2022-01-28,9:09 PM,10:26 PM,,77,Thesis,2022-01,2022,Friday,Research
2022-01-29,9:14 AM,10:39 AM,,85,Data Science & Programming,2022-01,2022,Saturday,Data Science & Programming
2022-01-29,11:11 AM,11:35 AM,,24,Thesis,2022-01,2022,Saturday,Research
2022-01-30,2:26 PM,3:53 PM,,87,Data Science & Programming,2022-01,2022,Sunday,Data Science & Programming
2022-01-30,5:04 PM,5:47 PM,,42,Application Exam Prepare,2022-01,2022,Sunday,Application
2022-01-30,10:21 PM,11:59 PM,,98,Read Books,2022-01,2022,Sunday,Personal Growth
2022-01-31,12:00 AM,12:21 AM,,22,Read Books,2022-01,2022,Monday,Personal Growth
2022-01-31,1:13 AM,1:59 AM,,46,Read Books,2022-01,2022,Monday,Personal Growth
2022-01-31,1:26 PM,3:57 PM,,151,Thesis,2022-01,2022,Monday,Research
2022-01-31,6:51 PM,7:21 PM,,30,Data Science & Programming,2022-01,2022,Monday,Data Science & Programming
